# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
Proxy/Disney.list	DOMAIN-SUFFIX,alivevmax.com
Proxy/Disney.list	DOMAIN-SUFFIX,amazonlumberyard.wang
Proxy/Disney.list	DOMAIN-SUFFIX,disneyhentai.com
Proxy/Disney.list	DOMAIN-SUFFIX,hbo.com.c.footprint.net
Proxy/Disney.list	DOMAIN-SUFFIX,hbomaxdash.s.llnwi.net
Proxy/Google.list	DOMAIN-SUFFIX,mobileads.google.com
Proxy/Google.list	DOMAIN-SUFFIX,twblogger.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,azureiotsuite.cn
Proxy/Microsoft.list	DOMAIN-SUFFIX,microsoft-smb.cn
Proxy/Microsoft.list	DOMAIN-SUFFIX,microsofteca.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,microsoftlinc.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,microsoftmxfilantropia.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,microsoftsiteselection.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,office365love.com
Proxy/Microsoft.list	DOMAIN-SUFFIX,office365tw.com
Proxy/Netflix.list	DOMAIN-SUFFIX,netflixdnstest0.com
Proxy/Others.list	DOMAIN-SUFFIX,0cgdklr5sfwj.com
Proxy/Others.list	DOMAIN-SUFFIX,0plkijj.vip
Proxy/Others.list	DOMAIN-SUFFIX,101tubeporn.com
Proxy/Others.list	DOMAIN-SUFFIX,10c10qoo.one
Proxy/Others.list	DOMAIN-SUFFIX,1111mod-tube.buzz
Proxy/Others.list	DOMAIN-SUFFIX,1111mode.xyz
Proxy/Others.list	DOMAIN-SUFFIX,1111modpo.info
Proxy/Others.list	DOMAIN-SUFFIX,123456.al
Proxy/Others.list	DOMAIN-SUFFIX,123bin.cc
Proxy/Others.list	DOMAIN-SUFFIX,123sex.top
Proxy/Others.list	DOMAIN-SUFFIX,140033.xyz
Proxy/Others.list	DOMAIN-SUFFIX,168sex.top
Proxy/Others.list	DOMAIN-SUFFIX,16bit.cfd
Proxy/Others.list	DOMAIN-SUFFIX,170.icu
Proxy/Others.list	DOMAIN-SUFFIX,18commic.com
Proxy/Others.list	DOMAIN-SUFFIX,18novel.xyz
Proxy/Others.list	DOMAIN-SUFFIX,18ww.life
Proxy/Others.list	DOMAIN-SUFFIX,1991way.com
Proxy/Others.list	DOMAIN-SUFFIX,1jjdg2.vip
Proxy/Others.list	DOMAIN-SUFFIX,1lib.cloud
Proxy/Others.list	DOMAIN-SUFFIX,1lib.eu
Proxy/Others.list	DOMAIN-SUFFIX,21heise360dh.cc
Proxy/Others.list	DOMAIN-SUFFIX,265sdwe3.com
Proxy/Others.list	DOMAIN-SUFFIX,27mmwmmw.top
Proxy/Others.list	DOMAIN-SUFFIX,2bit8.com
Proxy/Others.list	DOMAIN-SUFFIX,404.sb
Proxy/Others.list	DOMAIN-SUFFIX,4rbtv.com
Proxy/Others.list	DOMAIN-SUFFIX,51dh.site
Proxy/Others.list	DOMAIN-SUFFIX,51pincha.cc
Proxy/Others.list	DOMAIN-SUFFIX,52fuliji.cc
Proxy/Others.list	DOMAIN-SUFFIX,52hyse.com
Proxy/Others.list	DOMAIN-SUFFIX,567321.online
Proxy/Others.list	DOMAIN-SUFFIX,581658.best
Proxy/Others.list	DOMAIN-SUFFIX,5fang.cc
Proxy/Others.list	DOMAIN-SUFFIX,5mb48g.com
Proxy/Others.list	DOMAIN-SUFFIX,5mo.fun
Proxy/Others.list	DOMAIN-SUFFIX,5q5zu9f1.me
Proxy/Others.list	DOMAIN-SUFFIX,6-ar.com
Proxy/Others.list	DOMAIN-SUFFIX,61jxbs42.xyz
Proxy/Others.list	DOMAIN-SUFFIX,62fh1bnj.me
Proxy/Others.list	DOMAIN-SUFFIX,69dys.pw
Proxy/Others.list	DOMAIN-SUFFIX,69femdom.com
Proxy/Others.list	DOMAIN-SUFFIX,69hongdq6.buzz
Proxy/Others.list	DOMAIN-SUFFIX,69hongdq7.buzz
Proxy/Others.list	DOMAIN-SUFFIX,69luolie.com
Proxy/Others.list	DOMAIN-SUFFIX,6e8xr2gk.me
Proxy/Others.list	DOMAIN-SUFFIX,6sextube.com
Proxy/Others.list	DOMAIN-SUFFIX,6twseb.com
Proxy/Others.list	DOMAIN-SUFFIX,75m.co
Proxy/Others.list	DOMAIN-SUFFIX,785858.xyz
Proxy/Others.list	DOMAIN-SUFFIX,81jia.tv
Proxy/Others.list	DOMAIN-SUFFIX,8xxx.net
Proxy/Others.list	DOMAIN-SUFFIX,8z1.net
Proxy/Others.list	DOMAIN-SUFFIX,91gay.me
Proxy/Others.list	DOMAIN-SUFFIX,91moxiong.com
Proxy/Others.list	DOMAIN-SUFFIX,91oo.xyz
Proxy/Others.list	DOMAIN-SUFFIX,91qk41rf.com
Proxy/Others.list	DOMAIN-SUFFIX,91sesex.xyz
Proxy/Others.list	DOMAIN-SUFFIX,91sew40.buzz
Proxy/Others.list	DOMAIN-SUFFIX,928.plus
Proxy/Others.list	DOMAIN-SUFFIX,941tube.com
Proxy/Others.list	DOMAIN-SUFFIX,9527.rocks
Proxy/Others.list	DOMAIN-SUFFIX,9k6v4y.cyou
Proxy/Others.list	DOMAIN-SUFFIX,9tak-nav.buzz
Proxy/Others.list	DOMAIN-SUFFIX,9to5terminal.com
Proxy/Others.list	DOMAIN-SUFFIX,aaex.uk
Proxy/Others.list	DOMAIN-SUFFIX,abgsp1.buzz
Proxy/Others.list	DOMAIN-SUFFIX,acemby.org
Proxy/Others.list	DOMAIN-SUFFIX,acgdg.com
